ticker,display_name,name,asset_class,instrument_type,exchange,quote_currency,point_size,price_divisor,enabled
EXH1.DE,iShares STOXX Europe 600 Oil & Gas UCITS ETF DE (Dist EUR),iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE),ETF,REAL,XETRA,EUR,0.01,1,true
EXH9.DE,iShares STOXX Europe 600 Utilities UCITS ETF DE (Dist EUR),iShares STOXX Europe 600 Utilities UCITS ETF (DE),ETF,REAL,XETRA,EUR,0.01,1,true
QDVI.DE,iShares Edge MSCI USA Value Factor UCITS ETF (Acc EUR),iShares Edge MSCI USA Value Factor UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.001,1,true
QDVF.DE,iShares S&P 500 Energy Sector UCITS (Acc EUR),iShares S&P 500 Energy Sector UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.001,1,true
SXRS.DE,"iShares Diversified Commodity Swap UCITS ETF USD A (Acc, EUR)",iShares Diversified Commodity Swap UCITS ETF,ETF,REAL,XETRA,EUR,0.001,1,true
SXRY.DE,"iShares FTSE MIB UCITS ETF (Acc, EUR)",iShares VII PLC - iShares FTSE MIB ETF EUR Acc,ETF,REAL,XETRA,EUR,0.1,1,true
CEMS.DE,iShares Edge MSCI Europe Value Factor UCITS ETF (Acc EUR),iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Acc),ETF,REAL,XETRA,EUR,0.001,1,true
ZPRU.DE,"SPDR MSCI USA Value UCITS (Acc, EUR)",State Street SPDR MSCI USA Value UCITS ETF USD Acc,ETF,REAL,XETRA,EUR,0.01,1,true
ZPRV.DE,"SPDR MSCI USA Small Cap Value Weighted UCITS (Acc, EUR)",State Street SPDR MSCI USA Small Cap Value Weighted UCITS ETF USD Acc,ETF,REAL,XETRA,EUR,0.01,1,true
STZ.PA,SPDR MSCI Europe Financials UCITS ETF (Acc EUR),State Street SPDR MSCI Europe Financials UCITS ETF,ETF,REAL,Euronext Paris,EUR,0.01,1,true
BNK.PA,Amundi Stoxx European 600 Banks ETF (Acc EUR),Multi Units Luxembourg - Amundi STOXX Europe 600 Banks UCITS ETF Acc,ETF,REAL,Euronext Paris,EUR,0.01,1,true
PANX.PA,"Amundi PEA Nasdaq 100 UCITS C/D (Acc, EUR)",Amundi PEA US Tech Screened UCITS ETF - Acc,ETF,REAL,Euronext Paris,EUR,0.01,1,true
C50.PA,Amundi Euro Stoxx 50 UCITS ETF (Acc EUR),Amundi Core EURO STOXX 50 UCITS ETF EUR Acc,ETF,REAL,Euronext Paris,EUR,0.01,1,true
XB4A.DE,"Xtrackers ATX UCITS ETF 1C (Acc, EUR)",Xtrackers ATX UCITS ETF 1C,ETF,REAL,XETRA,EUR,0.01,1,true
XESP.DE,"Xtrackers Spain UCITS ETF (Acc, EUR)",Xtrackers Spain UCITS ETF 1C,ETF,REAL,XETRA,EUR,0.01,1,true
FLXK.DE,"Franklin FTSE Korea UCITS (Acc, EUR)",Franklin FTSE Korea UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
VVSM.DE,"VanEck Vectors Semiconductor UCITS (Acc, EUR)",VanEck Semiconductor UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
4UBI.DE,"UBS(Irl)ETFplc MSCI USA Soc Rsp UCITS (Acc, EUR)",UBS MSCI USA Socially Responsible UCITS ETF USD acc,ETF,REAL,XETRA,EUR,0.01,1,true
4UBQ.DE,"UBS (Irl) plc S&P 500 ESG UCITS (Acc, EUR)",UBS S&P 500 Scored & Screened UCITS ETF USD acc,ETF,REAL,XETRA,EUR,0.01,1,true
6AQQ.DE,"Amundi NASDAQ-100 UCITS (Acc, EUR)",Amundi Index Solutions - Amundi Nasdaq-100 Swap ETF EUR Acc,ETF,REAL,XETRA,EUR,0.01,1,true
6PSA.DE,"Invesco FTSE RAFI US 1000 UCITS (Dist, EUR)",Invesco RAFI US Fundamental Value UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
6TVM.DE,"Lyxor S&P 500 UCITS (Dist, EUR)",Amundi Core S&P 500 Swap UCITS ETF USD Dist,ETF,REAL,XETRA,EUR,0.01,1,true
AJI.F,Ajinomoto Co Inc,"Ajinomoto Co., Inc.",STOCK,REAL,XETRA,EUR,0.01,1,true
ARGX.BR,Argenx SE,argenx SE,STOCK,REAL,Euronext Brussels,EUR,0.01,1,true
ASI1.F,Asics Corp,ASICS Corporation,STOCK,REAL,XETRA,EUR,0.01,1,true
BNKE.PA,Amundi Euro Stoxx Banks UCITS ETF (Acc EUR),Amundi Euro Stoxx Banks UCITS ETF Acc,ETF,REAL,Euronext Paris,EUR,0.01,1,true
300750.SZ,Contemporary Amperex Technology Co Ltd,"Contemporary Amperex Technology Co., Limited",STOCK,REAL,XETRA,CNY,0.01,1,true
CBRS.DE,First Trust Nasdaq Cybersecurity UCITS (Acc EUR),First Trust Nasdaq Cybersecurity UCITS ETF Class A USD Accumulation,ETF,REAL,XETRA,EUR,0.01,1,true
D500.DE,"Invesco S&P 500 UCITS (Dist, EUR)",Invesco S&P 500 UCITS ETF (Dist),ETF,REAL,XETRA,EUR,0.01,1,true
D5BH.DE,"Xtrackers MSCI Canada ESG Screened UCITS (Acc, EUR)",Xtrackers MSCI Canada Screened UCITS ETF 1C,ETF,REAL,XETRA,EUR,0.01,1,true
D5BM.DE,"Xtrackers S&P 500 Swap UCITS (Acc, EUR)",Xtrackers S&P 500 Swap UCITS ETF 1C,ETF,REAL,XETRA,EUR,0.01,1,true
EQQB.DE,"Invesco EQQQ NASDAQ-100 UCITS (Acc, EUR)",Invesco EQQQ NASDAQ-100 UCITS ETF Acc,ETF,REAL,XETRA,EUR,0.01,1,true
ETDD.PA,Bnp Paribas Easy Euro Stoxx 50 UCITS ETF (Acc EUR),BNP Paribas Easy Euro Stoxx 50 UCITS ETF EUR C,ETF,REAL,Euronext Paris,EUR,0.01,1,true
EUN2.DE,iShares EURO STOXX 50 UCITS ETF (Dist EUR),iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),ETF,REAL,XETRA,EUR,0.01,1,true
F500.DE,"Amundi S&P 500 ESG UCITS (Acc, EUR)",Amundi S&P 500 Screened UCITS ETF - Acc,ETF,REAL,XETRA,EUR,0.01,1,true
FUSA.DE,"Fidelity US Quality Income UCITS (Acc, EUR)",Fidelity US Quality Income UCITS ETF Acc,ETF,REAL,XETRA,EUR,0.01,1,true
FUSD.DE,Fidelity US Quality Income UCITS (Dist EUR),Fidelity US Quality Income UCITS ETF Inc,ETF,REAL,XETRA,EUR,0.01,1,true
FUSR.DE,"Fidelity Sust Research Enh US Eq UCITS (Acc, EUR)",Fidelity US Equity Research Enhanced UCITS ETF USD Acc,ETF,REAL,XETRA,EUR,0.01,1,true
H412.DE,"HSBC USA Sustainable Equity UCITS (Acc, EUR)",HSBC USA Screened Equity UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
HIA1.F,Hitachi Ltd,"Hitachi, Ltd.",STOCK,REAL,XETRA,EUR,0.01,1,true
I500.DE,iShares S&P 500 Swap UCITS (Acc EUR),iShares S&P 500 Swap UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
IEVL.L,iShares Edge MSCI Europe Value Factor UCITS ETF (Acc EUR),iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Acc),ETF,REAL,London Stock Exchange,EUR,0.01,1,true
IQQD.DE,"iShares UK Dividend UCITS (Dist, EUR)",iShares UK Dividend UCITS ETF GBP (Dist),ETF,REAL,XETRA,EUR,0.01,1,true
IUSA.DE,iShares S&P 500 UCITS ETF (Dist EUR),iShares Core S&P 500 UCITS ETF USD Dist,ETF,REAL,XETRA,EUR,0.01,1,true
